hour,minute,second,sensor_data
19,40,14,"[24.0, 23.5, 23.25, 23.5, 23.0, 23.75, 23.5, 23.0, 23.25, 24.0, 23.75, 23.75, 23.5, 23.25, 23.75, 23.5, 24.25, 24.0, 23.75, 23.75, 23.75, 23.5, 23.75, 23.75, 23.75, 24.0, 24.0, 24.0, 24.25, 23.5, 24.0, 23.75, 23.5, 24.25, 24.5, 24.75, 24.5, 24.25, 24.25, 24.25, 25.0, 25.25, 25.5, 26.0, 26.25, 25.75, 25.25, 25.25, 26.0, 25.25, 25.25, 26.25, 27.5, 29.5, 30.5, 29.75, 27.25, 26.5, 28.75, 30.25, 30.0, 29.5, 29.5, 29.5]"
19,40,14,"[24.0, 23.5, 23.5, 23.5, 23.5, 23.75, 23.5, 22.75, 23.75, 23.75, 23.5, 23.5, 23.75, 23.5, 23.75, 23.75, 24.0, 23.75, 24.25, 23.75, 23.75, 24.0, 23.75, 23.5, 23.75, 23.75, 23.75, 24.5, 23.5, 24.25, 24.5, 23.25, 24.25, 24.25, 24.25, 24.5, 24.25, 24.0, 24.75, 24.5, 25.25, 25.5, 25.25, 25.75, 26.25, 25.5, 25.25, 25.25, 26.5, 26.0, 25.5, 26.75, 27.0, 30.0, 30.75, 29.5, 26.25, 26.75, 28.75, 29.75, 30.25, 29.5, 29.5, 29.25]"
19,40,14,"[24.0, 23.75, 23.75, 23.75, 23.5, 23.0, 23.25, 23.25, 23.25, 23.75, 23.75, 23.75, 23.25, 23.75, 23.75, 23.5, 24.0, 23.75, 24.0, 23.5, 24.25, 23.75, 24.0, 23.5, 23.75, 24.0, 24.0, 24.0, 24.25, 24.0, 24.0, 23.5, 24.0, 24.0, 24.0, 24.25, 24.0, 24.25, 25.0, 24.0, 25.25, 25.75, 25.25, 25.75, 26.25, 25.5, 25.0, 25.25, 26.25, 25.75, 25.25, 26.5, 27.5, 29.75, 31.0, 29.25, 26.75, 27.25, 28.5, 30.0, 29.25, 30.25, 29.25, 29.0]"
19,40,14,"[23.75, 23.75, 23.5, 23.5, 23.5, 23.0, 23.5, 23.0, 23.75, 24.0, 23.5, 23.75, 23.5, 23.25, 23.75, 23.5, 24.25, 23.75, 24.0, 23.25, 24.0, 24.0, 24.25, 23.75, 24.25, 24.0, 23.75, 24.0, 24.25, 24.0, 24.25, 23.5, 24.0, 24.25, 24.25, 24.25, 23.75, 24.25, 24.25, 24.25, 25.0, 25.25, 25.75, 25.75, 26.25, 25.5, 24.75, 25.0, 26.25, 25.75, 25.5, 26.75, 27.75, 29.75, 30.5, 29.5, 26.75, 26.75, 28.5, 30.25, 30.0, 29.75, 29.0, 29.0]"
19,40,15,"[24.0, 23.75, 23.5, 23.75, 23.25, 23.25, 23.75, 23.75, 23.5, 24.25, 23.5, 23.75, 23.5, 23.5, 23.75, 23.75, 24.25, 23.75, 23.75, 24.0, 24.0, 24.25, 23.75, 24.0, 24.25, 23.5, 24.0, 24.0, 24.0, 24.0, 24.0, 23.5, 23.75, 24.25, 24.25, 24.0, 24.0, 24.0, 24.75, 24.5, 24.75, 25.25, 25.25, 25.5, 26.0, 25.25, 25.5, 25.75, 26.25, 25.0, 25.5, 26.5, 27.25, 29.5, 31.0, 29.75, 27.5, 26.75, 28.25, 29.5, 29.5, 29.25, 28.75, 28.75]"
19,40,15,"[24.25, 23.5, 23.5, 23.25, 23.0, 23.0, 23.5, 23.0, 23.75, 24.0, 23.5, 23.5, 23.5, 23.25, 23.5, 22.75, 24.25, 24.0, 24.25, 23.75, 24.0, 23.75, 23.75, 23.25, 24.0, 24.0, 23.75, 24.25, 24.0, 24.25, 24.25, 23.75, 24.0, 24.5, 23.75, 24.25, 24.5, 24.25, 24.25, 25.0, 25.5, 25.5, 25.75, 25.75, 26.25, 25.5, 24.5, 25.75, 26.0, 25.25, 25.5, 26.25, 27.25, 29.5, 30.0, 29.0, 26.25, 26.5, 28.5, 29.5, 30.0, 29.75, 28.5, 29.5]"
19,40,15,"[23.5, 23.5, 23.25, 23.5, 23.25, 23.25, 23.0, 22.5, 23.5, 23.75, 23.5, 23.5, 23.25, 23.5, 23.25, 23.5, 24.0, 23.5, 23.75, 23.75, 23.5, 23.75, 23.5, 23.75, 23.75, 23.75, 23.5, 23.75, 23.75, 23.5, 24.0, 23.75, 23.5, 24.0, 24.5, 24.5, 24.0, 23.75, 24.5, 24.25, 24.75, 25.0, 24.75, 25.25, 26.25, 25.0, 24.5, 25.0, 26.0, 25.25, 25.25, 26.5, 26.75, 29.5, 30.5, 29.0, 26.0, 26.75, 28.5, 30.0, 29.0, 29.0, 29.0, 29.25]"
19,40,15,"[24.0, 23.25, 23.25, 23.5, 23.25, 23.0, 23.25, 23.0, 23.5, 23.75, 23.25, 23.25, 22.75, 23.0, 23.25, 22.5, 23.75, 23.25, 23.75, 23.25, 23.5, 23.5, 23.5, 22.75, 23.5, 23.5, 23.5, 23.5, 23.5, 23.75, 24.0, 23.25, 23.5, 24.0, 23.75, 23.75, 23.5, 23.5, 23.75, 23.5, 24.5, 24.75, 24.5, 25.25, 25.25, 25.25, 24.25, 25.0, 25.75, 25.25, 25.25, 26.5, 27.0, 29.25, 30.25, 29.25, 26.0, 27.0, 28.25, 30.25, 29.75, 29.25, 28.5, 29.25]"
19,40,16,"[23.5, 23.5, 23.0, 23.25, 22.5, 23.0, 23.25, 22.0, 23.5, 23.75, 23.25, 23.75, 22.75, 23.25, 23.5, 22.75, 24.0, 23.0, 23.75, 23.25, 23.75, 23.75, 23.25, 23.25, 23.5, 23.5, 23.5, 23.75, 23.75, 23.5, 23.75, 23.25, 23.75, 23.75, 23.25, 24.0, 23.75, 23.5, 24.0, 23.75, 24.75, 25.0, 25.0, 25.25, 25.5, 25.0, 24.5, 24.75, 26.25, 25.25, 25.0, 26.25, 27.0, 29.25, 30.25, 28.75, 26.25, 26.5, 28.25, 29.75, 29.75, 29.5, 28.75, 28.5]"
19,40,16,"[23.75, 23.0, 23.5, 23.5, 22.75, 23.25, 23.5, 22.25, 23.25, 23.75, 23.0, 23.5, 22.75, 23.0, 23.5, 23.25, 24.0, 23.75, 23.75, 23.25, 23.75, 23.75, 23.0, 23.5, 23.75, 23.25, 23.25, 23.75, 23.5, 23.75, 24.25, 23.5, 23.5, 24.0, 24.0, 24.0, 24.0, 23.75, 24.0, 24.0, 24.5, 24.75, 24.75, 25.25, 25.75, 25.0, 25.0, 25.5, 25.75, 24.5, 25.0, 26.25, 27.25, 29.25, 30.5, 29.5, 26.25, 26.5, 28.25, 29.75, 29.5, 29.25, 29.0, 28.75]"
19,40,16,"[23.75, 23.75, 23.25, 23.25, 22.75, 23.5, 22.75, 22.5, 23.0, 23.5, 23.25, 23.25, 23.25, 23.0, 23.75, 22.75, 24.0, 23.5, 23.5, 23.25, 23.75, 23.5, 23.0, 22.75, 24.0, 23.75, 23.75, 23.5, 24.0, 23.5, 23.75, 23.0, 23.5, 24.5, 23.75, 24.25, 23.5, 23.75, 24.5, 24.0, 24.5, 25.25, 25.0, 25.5, 25.5, 25.0, 24.5, 25.0, 25.5, 25.0, 24.75, 26.0, 27.25, 29.5, 30.5, 28.75, 26.0, 26.75, 28.5, 30.0, 29.5, 29.0, 28.75, 28.75]"
19,40,16,"[23.5, 23.75, 22.75, 23.0, 23.25, 23.0, 23.5, 22.75, 23.5, 23.5, 23.0, 23.25, 23.25, 22.5, 23.25, 23.0, 23.75, 23.75, 23.75, 22.75, 24.0, 23.75, 23.5, 23.25, 23.75, 23.5, 23.25, 23.75, 23.75, 24.0, 23.75, 23.0, 23.25, 24.0, 23.75, 24.0, 23.75, 23.75, 23.75, 24.0, 24.5, 25.25, 25.25, 25.0, 25.75, 25.0, 24.75, 25.0, 25.5, 25.0, 25.25, 26.5, 27.0, 28.75, 30.0, 29.0, 26.25, 26.0, 28.25, 29.75, 28.75, 29.25, 28.75, 28.5]"
19,40,16,"[23.0, 23.75, 23.0, 23.25, 23.0, 23.5, 23.0, 23.0, 23.25, 23.25, 23.0, 23.5, 22.5, 22.75, 23.5, 22.75, 24.0, 23.25, 23.25, 23.0, 23.25, 23.5, 23.25, 23.5, 23.5, 23.25, 23.5, 23.25, 23.25, 23.25, 23.75, 22.5, 23.5, 23.25, 23.0, 23.25, 23.75, 23.5, 23.75, 23.25, 24.5, 24.75, 24.75, 25.0, 25.0, 24.5, 24.5, 24.75, 26.25, 24.5, 24.5, 26.0, 27.0, 29.25, 29.75, 28.75, 26.5, 26.25, 27.75, 29.5, 29.5, 28.75, 28.25, 28.75]"
19,40,16,"[23.25, 23.0, 22.25, 23.25, 23.25, 23.0, 23.0, 22.5, 23.25, 23.25, 22.75, 23.0, 23.0, 22.5, 22.75, 23.0, 23.75, 22.75, 23.5, 22.75, 23.25, 23.0, 23.0, 22.75, 23.25, 23.25, 23.25, 23.75, 23.5, 23.25, 23.75, 23.0, 23.25, 23.5, 23.5, 23.75, 23.5, 23.5, 24.25, 23.25, 24.0, 25.0, 25.0, 25.0, 25.0, 24.25, 24.5, 24.75, 25.75, 25.25, 24.75, 26.0, 26.75, 28.75, 30.5, 29.0, 26.0, 26.0, 27.75, 29.5, 29.5, 29.25, 28.75, 28.75]"
19,40,17,"[23.75, 23.75, 23.5, 22.75, 23.0, 22.75, 23.0, 22.5, 22.75, 23.25, 22.5, 23.0, 22.75, 22.75, 23.0, 22.5, 23.75, 23.25, 23.25, 22.75, 23.5, 23.25, 23.25, 22.75, 23.25, 23.0, 23.25, 23.25, 23.25, 23.5, 23.75, 22.75, 23.5, 23.0, 23.5, 23.0, 23.0, 23.0, 23.5, 23.75, 24.25, 24.75, 24.25, 24.75, 25.25, 24.25, 24.5, 24.75, 25.25, 24.75, 24.5, 26.0, 26.25, 29.0, 29.75, 29.0, 26.5, 26.0, 28.25, 29.75, 29.0, 29.25, 28.5, 29.0]"
19,40,17,"[24.0, 25.75, 25.5, 22.75, 22.5, 22.25, 22.75, 22.75, 22.75, 23.25, 22.75, 23.0, 22.5, 23.0, 23.25, 23.0, 23.5, 23.0, 23.25, 23.0, 23.0, 23.25, 22.75, 22.75, 23.75, 23.0, 23.0, 23.25, 23.0, 23.25, 23.75, 23.25, 22.5, 23.75, 23.0, 23.5, 23.5, 23.5, 24.0, 24.25, 24.75, 24.75, 24.25, 24.75, 25.25, 24.25, 24.5, 24.5, 25.5, 25.0, 24.5, 26.25, 26.75, 29.0, 29.75, 28.75, 26.25, 27.0, 27.75, 29.25, 29.5, 29.0, 28.5, 28.5]"
19,40,17,"[24.75, 27.75, 29.0, 25.5, 23.25, 22.5, 23.0, 22.25, 23.5, 23.75, 24.75, 23.25, 22.5, 23.25, 22.75, 23.0, 23.75, 23.0, 23.0, 23.5, 23.5, 23.75, 23.25, 23.0, 23.5, 22.75, 23.25, 23.5, 23.25, 23.0, 23.75, 23.0, 23.25, 22.75, 23.0, 23.75, 23.5, 23.25, 23.5, 23.5, 24.5, 25.0, 24.75, 25.25, 25.5, 24.5, 24.5, 24.75, 25.75, 25.5, 24.5, 25.75, 26.75, 29.25, 30.0, 29.0, 26.25, 26.75, 28.5, 29.5, 29.5, 28.5, 28.25, 28.5]"
19,40,17,"[25.0, 28.75, 29.25, 29.0, 23.0, 23.0, 23.5, 22.75, 23.5, 26.5, 28.75, 26.25, 23.5, 23.0, 23.5, 23.0, 24.0, 23.75, 24.0, 23.25, 23.5, 23.5, 23.25, 23.25, 23.25, 23.0, 23.25, 23.75, 23.25, 23.25, 23.75, 22.75, 23.25, 24.25, 23.25, 24.0, 23.5, 23.5, 23.5, 23.5, 24.25, 24.75, 24.5, 25.5, 25.5, 25.0, 24.5, 25.25, 25.75, 25.0, 24.75, 26.0, 27.0, 29.0, 30.0, 29.25, 26.0, 27.0, 28.0, 29.5, 29.0, 28.75, 28.75, 28.0]"
19,40,18,"[26.25, 29.5, 30.25, 29.5, 24.25, 23.0, 23.0, 23.25, 24.5, 28.25, 29.5, 29.0, 23.25, 23.5, 23.25, 23.0, 24.0, 24.5, 26.5, 24.75, 23.5, 23.75, 23.0, 23.25, 24.25, 23.5, 23.75, 24.0, 23.75, 23.75, 24.0, 23.25, 23.25, 23.5, 23.25, 23.75, 23.5, 23.75, 24.0, 24.0, 24.75, 24.75, 24.75, 25.25, 25.5, 24.75, 24.25, 24.5, 25.75, 25.0, 25.0, 26.0, 27.0, 29.5, 30.0, 29.25, 26.75, 26.75, 28.5, 30.0, 29.25, 29.0, 28.75, 29.0]"
19,40,18,"[27.75, 30.0, 30.25, 29.5, 24.5, 23.25, 23.0, 22.75, 25.5, 29.5, 30.25, 29.75, 24.25, 23.5, 23.5, 22.75, 24.25, 25.5, 28.25, 26.75, 23.75, 24.0, 23.75, 22.75, 24.0, 23.5, 23.75, 23.75, 23.75, 24.0, 23.5, 23.25, 24.0, 24.0, 24.0, 24.0, 23.5, 23.25, 24.25, 23.75, 24.5, 25.0, 25.5, 25.5, 25.75, 24.75, 24.5, 24.5, 25.75, 25.25, 24.75, 26.25, 27.25, 29.75, 30.25, 29.0, 25.75, 26.75, 28.0, 29.75, 29.0, 29.25, 28.75, 28.75]"
19,40,18,"[28.75, 30.0, 29.75, 29.75, 24.5, 23.25, 23.5, 22.75, 26.5, 30.5, 30.0, 29.5, 24.25, 23.0, 23.25, 23.0, 24.75, 27.0, 29.0, 27.0, 23.75, 23.5, 23.0, 23.5, 23.75, 23.5, 23.75, 23.75, 23.75, 23.5, 23.75, 23.25, 23.25, 23.75, 23.5, 23.75, 23.25, 24.0, 23.75, 23.5, 24.5, 24.75, 25.0, 25.0, 25.5, 25.25, 24.5, 24.75, 25.25, 24.75, 24.5, 26.25, 26.5, 29.25, 30.25, 29.25, 25.75, 25.5, 27.75, 29.0, 29.25, 28.75, 29.0, 28.75]"
19,40,18,"[28.5, 30.0, 30.25, 29.25, 24.5, 23.5, 23.25, 22.5, 27.25, 30.5, 30.5, 29.25, 23.5, 22.75, 23.0, 22.75, 25.0, 27.5, 29.75, 26.5, 23.5, 23.5, 23.0, 23.25, 23.75, 24.0, 24.0, 23.75, 23.0, 23.25, 23.5, 22.5, 23.25, 23.5, 23.25, 23.5, 23.5, 23.5, 23.25, 23.25, 24.75, 24.75, 24.0, 25.0, 25.25, 24.75, 24.5, 24.5, 26.0, 24.75, 24.75, 25.75, 27.0, 28.75, 29.5, 29.0, 25.75, 26.5, 28.0, 29.5, 29.0, 28.75, 28.75, 28.5]"
19,40,18,"[28.75, 30.0, 29.5, 29.25, 24.25, 22.75, 23.5, 22.25, 27.0, 30.5, 30.75, 29.5, 23.75, 23.0, 23.0, 23.0, 24.75, 27.25, 29.75, 26.0, 23.5, 23.25, 23.0, 22.0, 23.75, 23.75, 23.5, 23.25, 23.0, 23.0, 23.0, 22.75, 23.25, 24.0, 23.0, 23.5, 23.5, 23.25, 23.75, 23.5, 24.75, 25.0, 23.75, 24.75, 24.75, 24.5, 24.0, 23.75, 25.75, 24.5, 24.25, 25.5, 26.25, 29.0, 29.25, 28.5, 25.5, 25.5, 28.25, 29.25, 28.75, 29.0, 28.25, 28.5]"
19,40,19,"[27.75, 30.0, 29.25, 28.75, 23.75, 22.5, 22.75, 22.5, 26.5, 29.75, 30.0, 28.25, 22.75, 22.75, 22.5, 22.5, 24.75, 26.0, 28.0, 24.5, 23.5, 23.0, 23.0, 22.75, 23.75, 23.0, 23.5, 23.25, 23.25, 23.25, 23.25, 22.5, 23.25, 23.25, 22.75, 23.0, 22.75, 22.75, 23.25, 23.25, 24.25, 24.0, 24.5, 24.5, 25.25, 24.25, 24.25, 24.25, 25.5, 24.25, 24.5, 25.0, 26.25, 28.5, 29.5, 28.5, 25.75, 26.0, 27.75, 29.5, 28.75, 28.5, 28.75, 28.5]"
19,40,19,"[27.5, 29.25, 29.25, 28.25, 23.5, 22.75, 22.75, 22.0, 25.0, 29.5, 29.75, 27.75, 23.0, 22.75, 23.0, 22.75, 24.75, 24.25, 26.5, 23.5, 22.5, 22.75, 22.5, 22.5, 23.0, 22.75, 23.25, 23.0, 22.75, 22.75, 23.0, 22.75, 23.25, 23.25, 23.0, 22.75, 23.0, 23.25, 23.25, 23.5, 24.0, 24.25, 24.25, 24.25, 25.0, 24.5, 24.25, 24.0, 25.25, 24.5, 24.25, 25.5, 26.5, 28.25, 29.5, 28.75, 25.75, 25.75, 27.5, 29.5, 28.5, 28.0, 28.5, 29.25]"
19,40,19,"[25.75, 28.75, 29.0, 26.75, 22.75, 22.5, 23.0, 22.0, 23.5, 27.5, 28.25, 24.75, 22.25, 22.75, 22.75, 22.75, 23.75, 23.0, 23.25, 22.75, 23.0, 23.0, 22.25, 23.0, 23.0, 23.0, 23.0, 22.75, 23.0, 22.75, 23.0, 22.75, 23.5, 23.0, 23.0, 23.25, 23.0, 22.75, 23.25, 23.25, 24.25, 24.5, 24.25, 24.25, 24.75, 24.0, 23.75, 24.25, 25.75, 24.25, 24.0, 25.75, 26.5, 28.75, 29.5, 28.5, 26.0, 26.0, 28.0, 29.0, 29.0, 28.5, 28.5, 28.25]"
19,40,19,"[24.25, 28.25, 28.75, 24.75, 22.5, 23.0, 23.0, 22.5, 23.0, 24.75, 25.0, 22.75, 22.25, 22.25, 22.75, 22.5, 23.5, 22.25, 23.5, 22.75, 23.0, 23.0, 22.5, 22.75, 23.25, 22.75, 23.0, 23.0, 23.25, 22.75, 23.25, 23.0, 23.5, 23.25, 23.25, 23.25, 23.0, 22.75, 23.25, 23.5, 24.5, 24.5, 24.25, 25.0, 25.0, 23.75, 24.25, 24.0, 25.5, 24.75, 24.25, 25.75, 26.25, 28.75, 29.75, 28.5, 25.25, 25.5, 27.5, 29.5, 28.75, 28.5, 28.0, 28.5]"
19,40,19,"[23.75, 27.5, 27.0, 23.0, 22.5, 22.25, 22.5, 22.0, 22.75, 23.25, 23.0, 23.0, 22.0, 22.75, 22.5, 22.5, 23.5, 22.75, 23.0, 22.25, 23.0, 23.0, 22.5, 22.75, 23.0, 22.75, 23.0, 23.25, 23.0, 23.25, 23.25, 23.25, 22.5, 23.0, 22.75, 23.25, 22.5, 23.0, 23.5, 23.5, 24.25, 24.25, 24.5, 25.0, 25.25, 24.5, 23.75, 24.0, 25.5, 24.75, 24.75, 25.5, 26.0, 29.25, 30.0, 28.25, 26.25, 26.5, 27.5, 29.0, 29.0, 28.5, 28.25, 28.5]"
19,40,20,"[22.75, 25.5, 24.0, 22.75, 22.5, 22.0, 22.5, 22.0, 23.0, 22.5, 22.25, 22.5, 22.25, 22.5, 22.75, 22.25, 23.5, 22.75, 22.75, 22.25, 22.75, 22.75, 23.0, 22.75, 22.75, 22.5, 22.75, 23.0, 23.0, 23.25, 23.0, 22.5, 23.75, 23.25, 23.25, 23.0, 22.75, 23.25, 23.25, 23.0, 24.0, 24.25, 24.25, 24.5, 25.0, 24.25, 24.25, 24.5, 25.25, 24.5, 24.0, 26.0, 26.25, 29.0, 29.5, 28.25, 25.25, 26.0, 27.25, 29.0, 29.0, 28.75, 28.75, 28.0]"
19,40,20,"[22.75, 23.5, 22.75, 22.75, 22.5, 22.5, 22.75, 22.5, 23.25, 23.5, 22.5, 23.0, 22.75, 22.25, 22.75, 22.5, 23.75, 22.75, 23.0, 22.75, 23.25, 23.0, 23.0, 22.5, 23.25, 22.75, 23.0, 23.25, 23.25, 23.0, 23.5, 22.5, 23.0, 23.25, 23.25, 23.0, 23.25, 23.0, 23.5, 23.5, 24.0, 24.5, 24.25, 24.75, 25.5, 24.75, 24.0, 24.75, 25.5, 25.0, 24.0, 26.0, 26.5, 28.75, 29.5, 29.0, 25.5, 26.75, 28.0, 29.25, 28.75, 29.0, 28.5, 28.25]"
19,40,20,"[23.25, 22.75, 22.75, 22.75, 22.5, 22.5, 22.75, 22.0, 23.0, 23.25, 22.25, 22.5, 22.25, 22.75, 22.75, 22.75, 23.25, 23.0, 22.75, 22.5, 23.25, 22.75, 23.0, 22.5, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.5, 22.75, 22.75, 23.5, 23.0, 23.25, 23.0, 23.25, 23.0, 23.25, 24.5, 24.5, 24.25, 24.75, 25.25, 24.25, 24.0, 24.25, 26.0, 25.25, 24.25, 25.5, 26.75, 29.0, 29.75, 28.75, 26.25, 25.75, 28.0, 29.5, 28.75, 28.5, 28.25, 28.75]"
19,40,20,"[22.25, 22.5, 22.5, 22.75, 22.5, 22.75, 22.75, 22.25, 23.0, 23.25, 22.5, 22.25, 22.5, 22.25, 22.75, 23.0, 23.25, 22.75, 23.0, 23.0, 23.25, 23.25, 23.0, 22.75, 23.25, 23.0, 23.25, 23.25, 22.75, 23.0, 23.5, 22.5, 23.5, 23.25, 22.75, 23.25, 23.0, 23.0, 23.5, 22.75, 24.0, 24.75, 24.5, 25.0, 25.0, 24.75, 24.25, 24.5, 25.25, 24.5, 25.0, 25.75, 27.0, 29.25, 29.75, 28.75, 26.25, 25.75, 28.0, 29.25, 28.5, 28.75, 28.75, 28.75]"
19,40,20,"[23.5, 23.0, 23.25, 23.0, 22.75, 22.75, 22.75, 22.25, 23.25, 22.75, 23.0, 22.75, 22.75, 22.25, 22.75, 23.0, 23.25, 22.5, 23.0, 22.75, 23.0, 23.0, 23.0, 22.75, 23.5, 23.25, 22.75, 23.25, 23.0, 23.25, 23.25, 22.5, 23.5, 23.25, 23.25, 23.25, 23.25, 23.75, 23.5, 22.5, 24.25, 25.0, 24.75, 24.75, 25.5, 24.5, 24.0, 24.75, 25.25, 24.75, 24.25, 25.75, 26.75, 29.25, 30.0, 28.75, 26.25, 26.0, 27.75, 29.75, 29.0, 28.75, 28.75, 28.0]"
19,40,21,"[23.5, 23.0, 22.5, 22.5, 22.5, 22.75, 22.5, 22.5, 22.75, 22.75, 22.75, 23.0, 22.25, 22.75, 22.5, 22.75, 23.75, 23.0, 22.5, 23.0, 23.25, 23.0, 22.5, 22.75, 23.0, 22.75, 23.0, 23.25, 23.0, 23.5, 23.25, 23.5, 23.5, 23.25, 23.25, 23.5, 23.25, 23.25, 23.25, 23.0, 24.0, 24.75, 24.25, 24.75, 25.25, 25.0, 24.5, 24.5, 25.25, 24.5, 25.0, 26.0, 26.5, 29.25, 30.0, 29.0, 26.5, 25.75, 27.75, 29.5, 29.0, 28.75, 28.5, 28.75]"
19,40,21,"[23.0, 23.25, 22.25, 23.0, 22.75, 23.0, 22.25, 22.5, 23.25, 23.25, 22.5, 23.25, 23.0, 22.75, 23.0, 23.0, 23.75, 23.25, 23.5, 22.75, 23.25, 23.5, 22.75, 23.0, 23.0, 23.0, 23.0, 23.5, 23.0, 23.75, 23.0, 23.0, 23.5, 23.75, 23.0, 23.5, 23.25, 23.75, 23.0, 23.5, 24.75, 24.75, 24.75, 25.25, 25.75, 24.5, 24.25, 24.75, 25.75, 24.75, 24.75, 26.0, 26.75, 29.25, 29.75, 29.5, 26.0, 26.5, 28.0, 29.5, 29.25, 29.0, 28.75, 29.0]"
19,40,21,"[23.5, 23.25, 22.5, 22.5, 22.75, 22.5, 22.5, 22.0, 23.25, 24.0, 23.0, 23.0, 23.0, 22.75, 23.5, 23.25, 23.5, 23.5, 23.25, 22.75, 23.5, 23.0, 23.0, 23.25, 23.75, 23.0, 23.25, 23.0, 23.5, 24.0, 24.0, 22.75, 23.5, 23.25, 23.75, 23.5, 22.75, 23.5, 23.75, 23.25, 24.25, 24.75, 25.0, 25.0, 25.5, 25.0, 24.5, 24.75, 25.75, 24.5, 24.5, 25.75, 26.75, 29.25, 29.5, 29.0, 26.0, 26.25, 28.0, 29.25, 29.5, 28.75, 29.0, 28.5]"
19,40,21,"[23.0, 23.5, 23.25, 23.0, 22.5, 22.5, 23.25, 22.5, 23.25, 23.25, 23.0, 23.0, 22.75, 23.25, 23.0, 23.25, 23.75, 23.5, 23.25, 22.75, 23.5, 23.75, 22.75, 23.25, 23.5, 23.25, 23.75, 23.5, 23.5, 23.25, 23.25, 22.75, 23.0, 23.5, 23.0, 23.5, 23.5, 23.5, 23.75, 24.0, 24.25, 25.0, 24.75, 25.25, 25.5, 25.0, 24.75, 24.5, 26.0, 25.25, 25.25, 26.5, 27.0, 29.0, 30.25, 28.75, 26.0, 26.5, 27.75, 29.25, 29.75, 28.75, 28.25, 29.0]"
19,40,21,"[23.5, 23.25, 22.75, 23.25, 22.75, 22.75, 23.0, 22.5, 23.0, 23.5, 23.0, 23.0, 22.75, 23.0, 22.75, 23.25, 23.5, 23.75, 24.0, 23.0, 23.5, 24.0, 23.0, 23.25, 23.5, 22.75, 23.25, 23.5, 23.75, 23.25, 23.75, 23.0, 23.75, 23.5, 23.5, 23.25, 23.75, 23.5, 24.0, 23.75, 24.5, 24.75, 24.75, 25.25, 25.75, 24.75, 24.5, 25.25, 26.0, 24.75, 24.75, 26.0, 27.0, 29.25, 30.5, 29.0, 26.5, 26.5, 28.25, 29.75, 29.25, 29.0, 28.75, 28.75]"
19,40,22,"[23.25, 23.0, 22.75, 22.75, 22.75, 22.75, 23.0, 22.75, 23.0, 23.25, 22.75, 23.25, 22.75, 22.75, 23.0, 23.0, 23.75, 23.0, 23.75, 23.0, 23.75, 23.25, 23.25, 23.25, 23.75, 23.5, 23.75, 23.5, 23.5, 23.5, 23.75, 23.25, 23.25, 23.75, 23.75, 23.25, 24.0, 23.0, 23.75, 23.5, 24.75, 24.5, 25.25, 24.5, 26.0, 24.5, 24.5, 24.5, 25.25, 25.25, 25.0, 26.25, 27.25, 29.5, 29.75, 29.0, 26.5, 26.5, 27.75, 30.0, 29.25, 29.0, 28.75, 28.75]"
19,40,22,"[23.75, 23.25, 23.5, 23.0, 22.75, 23.0, 23.25, 22.25, 23.25, 23.5, 23.0, 23.25, 23.0, 23.0, 23.5, 22.75, 24.0, 23.5, 23.75, 23.0, 23.25, 23.5, 23.25, 23.25, 23.75, 23.25, 23.75, 23.5, 24.0, 23.25, 23.75, 23.0, 24.0, 23.75, 23.75, 23.5, 23.5, 23.5, 24.0, 23.75, 24.5, 24.75, 25.0, 25.0, 25.75, 25.0, 24.75, 24.75, 26.0, 25.25, 25.0, 26.5, 27.25, 29.5, 30.0, 29.25, 26.75, 27.0, 28.0, 29.75, 29.5, 29.25, 29.0, 28.75]"
19,40,22,"[23.75, 23.25, 22.75, 23.25, 23.0, 22.75, 23.25, 22.75, 23.0, 23.5, 23.25, 22.75, 22.5, 22.75, 23.25, 22.75, 23.75, 23.25, 23.5, 22.75, 23.5, 23.75, 23.0, 23.0, 23.75, 23.25, 24.0, 23.5, 23.75, 24.0, 24.0, 23.0, 23.5, 23.75, 23.75, 23.75, 24.0, 23.5, 23.75, 24.0, 24.25, 24.75, 25.25, 25.25, 26.0, 25.0, 24.5, 24.75, 26.0, 25.0, 25.0, 26.0, 27.0, 29.25, 30.5, 29.0, 26.25, 26.25, 28.25, 29.5, 29.75, 29.0, 29.0, 29.0]"
19,40,22,"[23.75, 23.25, 23.0, 23.5, 22.75, 23.0, 23.0, 23.0, 23.5, 23.5, 23.5, 23.0, 23.0, 23.0, 23.25, 22.75, 24.25, 23.5, 23.75, 23.75, 23.25, 23.25, 23.25, 23.25, 23.25, 23.25, 24.25, 23.75, 23.5, 23.5, 23.75, 23.25, 23.75, 24.0, 23.5, 24.0, 23.5, 23.5, 24.0, 23.5, 24.25, 25.25, 25.25, 25.75, 25.5, 25.25, 24.75, 24.5, 25.25, 25.25, 25.0, 26.25, 26.75, 29.25, 30.0, 29.5, 26.0, 25.75, 28.5, 29.5, 29.25, 28.75, 28.75, 28.5]"
